# Provided by Libamtrack
# Generated: 17/8/2026 @ 19:58:59
# Radial dose distribution
"r_m_x","r_m_y"
2.479672892502358e-7,8.52467064418252
2.520004993764296e-7,8.254341739718742
2.5609931002586665e-7,7.9925797949893145
2.6026478819692175e-7,7.739113576634573
2.644980182427936e-7,7.493680426346243
2.688001021537827e-7,7.25602599034649
2.7317215984416024e-7,7.025903957373986
2.776153294437031e-7,6.803075804910648
2.821307675939707e-7,6.587310553391181
2.8671964974940103e-7,6.378384528145397
2.913831704833033e-7,6.176081128831246
2.9612254379882856e-7,5.980190606123822
3.009390034449977e-7,5.790509845433039
3.058338032378694e-7,5.606842157429769
3.108082173869331e-7,5.428997075166901
3.1586354082680903e-7,5.256790157588738
3.2100108955434506e-7,5.090042799228243
3.2622220097119533e-7,4.928582045898168
3.3152823423197146e-7,4.772240416188003
3.369205705980563e-7,4.620855728584572
3.4240061379717267e-7,4.4742709340397875
3.4796979038880013e-7,4.3323339538146355
3.5362955013553573e-7,4.194897522433679
3.593813663804949e-7,4.061819035589655
3.652267364308504e-7,3.932960402842705
3.7116718194761006e-7,3.8081879049636163
3.772042493417341e-7,3.6873720557751755
3.83339510176695e-7,3.570387468350323
3.89574561577586e-7,3.457112725430135
3.959110266468823e-7,3.347430253929063
4.0235055488696637e-7,3.241226203398861
4.0889482262952407e-7,3.138390328326793
4.155455334719262e-7,3.0388158741475
4.2230441872070693e-7,2.9423994668517435
4.291732378422561e-7,2.8490410060788682
4.361537789208416e-7,2.758643561583388
4.4324785912408177e-7,2.671113272969507
4.504573251759887e-7,2.586359252590746
4.5778405383770563e-7,2.504293491515038
4.6522995239606363e-7,2.4248307684588037
4.727969591600845e-7,2.3478885615965077
4.804870439655595e-7,2.273386963155178
4.883022086878354e-7,2.201248596706153
4.962444877629401e-7,2.131398537069128
5.043159487171854e-7,2.063764232746187
5.125186927053836e-7,1.9982754308061155
5.208548550578177e-7,1.9348641041418073
5.293266058361087e-7,1.8734643810259521
5.379361503981237e-7,1.8140124768925874
5.466857299720729e-7,1.7564466282743514
5.555776222399434e-7,1.700707028827467
5.646141419304239e-7,1.6467357673786498
5.737976414214715e-7,1.5944767679301783
5.831305113526814e-7,1.5438757315613667
5.926151812476159e-7,1.494880080166644
6.022541201462544e-7,1.4474389019723
6.120498372477329e-7,1.4015028987757874
6.220048825635354e-7,1.357024334853239
6.321218475813108e-7,1.3139569874825636
6.424033659394861e-7,1.2722560990311365
6.528521141128528e-7,1.2318783305587095
6.634708121093043e-7,1.1927817168877208
6.742622241779052e-7,1.1549256230946794
6.852291595284786e-7,1.1182707023777692
6.963744730628963e-7,1.082778855257223
7.077010661182642e-7,1.0484131900663847
7.192118872221958e-7,1.0151379846926996
7.309099328603696e-7,0.9829186495291732
7.427982482565716e-7,0.9517216915980556
7.54879928165425e-7,0.9215146798097329
7.671581176780134e-7,0.892266211320966
7.796360130406082e-7,0.8639458789577503
7.92316862486712e-7,0.8365242396691569
8.052039670826359e-7,0.8099727839795803
8.183006815868293e-7,0.7842639064078578
8.31610415323188e-7,0.7593708768226843
