time,n_positive,n_negative,injected_positive,injected_negative,recombination
3.652158202377e-05,9.394833765806e+07,8.130188144727e+07,1.000594235465e+06,1.000594235465e+06,7.821417923900e+04
3.682592854063e-05,9.450254822824e+07,8.165556684699e+07,1.005858393843e+06,1.005858393843e+06,7.884264952122e+04
3.713027505750e-05,9.504655987434e+07,8.199762391106e+07,9.992162205073e+05,9.992162205073e+05,7.944697852849e+04
3.743462157436e-05,9.558514051568e+07,8.233282568900e+07,9.973403872656e+05,9.973403872656e+05,8.003727502107e+04
3.773896809123e-05,9.612270871532e+07,8.266556944883e+07,9.998886489309e+05,9.998886489309e+05,8.062207190821e+04
3.804331460809e-05,9.666271349841e+07,8.299927558886e+07,1.005896696075e+06,1.005896696075e+06,8.120842046168e+04
3.834766112496e-05,9.719185138561e+07,8.332069599411e+07,9.985225234678e+05,9.985225234678e+05,8.177012418501e+04
3.865200764182e-05,9.773104633225e+07,8.365068182163e+07,1.012179902981e+06,1.012179902981e+06,8.234789816451e+04
3.895635415869e-05,9.825737495854e+07,8.396638393233e+07,1.002793038697e+06,1.002793038697e+06,8.289599073139e+04
3.926070067555e-05,9.878776982149e+07,8.428469585720e+07,1.010420088816e+06,1.010420088816e+06,8.344906593190e+04
3.956504719242e-05,9.930481964733e+07,8.458827128862e+07,1.000529596321e+06,1.000529596321e+06,8.397006562553e+04
3.986939370928e-05,9.982275908231e+07,8.489131339115e+07,1.004924577983e+06,1.004924577983e+06,8.448830835978e+04
4.017374022615e-05,1.003341614232e+08,8.518641429465e+07,1.001835746077e+06,1.001835746077e+06,8.499227733687e+04
4.047808674301e-05,1.008436322916e+08,8.547816893453e+07,1.003358815190e+06,1.003358815190e+06,8.548898240902e+04
4.078243325988e-05,1.013506324917e+08,8.576603538206e+07,1.004327569409e+06,1.004327569409e+06,8.597630999736e+04
4.108677977674e-05,1.018580652302e+08,8.605290195573e+07,1.008211893466e+06,1.008211893466e+06,8.646236831193e+04
4.139112629361e-05,1.023509055060e+08,8.632381598384e+07,9.969755457206e+05,9.969755457206e+05,8.691362582028e+04
4.169547281047e-05,1.028530696144e+08,8.660261721805e+07,1.009768843335e+06,1.009768843335e+06,8.738351824904e+04
4.199981932734e-05,1.033453683153e+08,8.687016659588e+07,1.003266878681e+06,1.003266878681e+06,8.782991652272e+04
4.230416584420e-05,1.038269666205e+08,8.712566994921e+07,9.959008052565e+05,9.959008052565e+05,8.825144119310e+04
4.260851236106e-05,1.043103258760e+08,8.738154959850e+07,1.001036869851e+06,1.001036869851e+06,8.867358370765e+04
4.291285887793e-05,1.047892175595e+08,8.763158490083e+07,9.998962894944e+05,9.998962894944e+05,8.908349609144e+04
4.321720539479e-05,1.052628522739e+08,8.787499855048e+07,9.979496395215e+05,9.979496395215e+05,8.948274140628e+04
4.352155191166e-05,1.057324580989e+08,8.811302278754e+07,9.972205633843e+05,9.972205633843e+05,8.987075560634e+04
4.382589842852e-05,1.062043977001e+08,8.835199141179e+07,1.002879037041e+06,1.002879037041e+06,9.026080770889e+04
4.413024494539e-05,1.066710449500e+08,8.858430251108e+07,1.000867969651e+06,1.000867969651e+06,9.063934858376e+04
4.443459146225e-05,1.071373337518e+08,8.881488162528e+07,1.003811914701e+06,1.003811914701e+06,9.101474816615e+04
4.473893797912e-05,1.076050907864e+08,8.904554139070e+07,1.008594482551e+06,1.008594482551e+06,9.139225381561e+04
4.504328449598e-05,1.080652133666e+08,8.926721832805e+07,1.004224045530e+06,1.004224045530e+06,9.175138140125e+04
4.534763101285e-05,1.085235486179e+08,8.948575662758e+07,1.005720356704e+06,1.005720356704e+06,9.210685518305e+04
4.565197752971e-05,1.089829399655e+08,8.970398057219e+07,1.010071202224e+06,1.010071202224e+06,9.246348154205e+04
4.595632404658e-05,1.094415046348e+08,8.992000480171e+07,1.012533366285e+06,1.012533366285e+06,9.281885425558e+04
4.626067056344e-05,1.098884197422e+08,9.012306545315e+07,1.004101850166e+06,1.004101850166e+06,9.314821780093e+04
4.656501708031e-05,1.103398743749e+08,9.032930387985e+07,1.011934077405e+06,1.011934077405e+06,9.348694780601e+04
4.686936359717e-05,1.107875822661e+08,9.053044670504e+07,1.011431171035e+06,1.011431171035e+06,9.381595468421e+04
4.717371011404e-05,1.112291325603e+08,9.072410579493e+07,1.008495982913e+06,1.008495982913e+06,9.413124892810e+04
4.747805663090e-05,1.116687400436e+08,9.091448999898e+07,1.009785035111e+06,1.009785035111e+06,9.444109560531e+04
4.778240314777e-05,1.120945911656e+08,9.108984607897e+07,9.991727518900e+05,9.991727518900e+05,9.472063479281e+04
4.808674966463e-05,1.125287484585e+08,9.127215963017e+07,1.010725131071e+06,1.010725131071e+06,9.501977824714e+04
4.839109618149e-05,1.129537476570e+08,9.144400889451e+07,1.004714785225e+06,1.004714785225e+06,9.529887615124e+04
4.869544269836e-05,1.133826706201e+08,9.161844037645e+07,1.011849048641e+06,1.011849048641e+06,9.558696567226e+04
4.899978921522e-05,1.138007035192e+08,9.178069713537e+07,1.004083056080e+06,1.004083056080e+06,9.585150666831e+04
4.930413573209e-05,1.142182886431e+08,9.194120524321e+07,1.006799685391e+06,1.006799685391e+06,9.611358809841e+04
4.960848224895e-05,1.146302516045e+08,9.209480603516e+07,1.004303757314e+06,1.004303757314e+06,9.636336235626e+04
